MO_1132-Tumor,,,,,,,,,,,
CRPC,,,,,,,,,,,
?,,,,,,,,,,,
,ABCA12,1,,,,,,,,,
,ABCC10,1,,,,,,,,,
,ACAA1,1,,,,,,,,,
,ACE,1,,,,,,,,,
,ADAM21,1,,,,,,,,,
,AFF3,1,,,,,,,,,
,AHSA1,1,,,,,,,,,
,AR,1,,,,,,,,,
,ARID5A,1,,,,,,,,,
,ASH1L,1,,,,,,,,,
,ASH2L,1,,,,,,,,,
,ATP8B3,1,,,,,,,,,
,BEGAIN,1,,,,,,,,,
,CAPG,1,,,,,,,,,
,CDX2,1,,,,,,,,,
,CHPF,1,,,,,,,,,
,CLCN2,1,,,,,,,,,
,COPA,1,,,,,,,,,
,CUL9,1,,,,,,,,,
,DCUN1D5,1,,,,,,,,,
,DENND2C,1,,,,,,,,,
,DHX30,1,,,,,,,,,
,DIP2B,1,,,,,,,,,
,DMXL1,1,,,,,,,,,
,DNAH1,1,,,,,,,,,
,DNAH3,1,,,,,,,,,
,EGFR,1,,,,,,,,,
,FADD,1,,,,,,,,,
,FASN,1,,,,,,,,,
,FHL5,1,,,,,,,,,
,GAS2L3,1,,,,,,,,,
,GPR116,1,,,,,,,,,
,GPR142,1,,,,,,,,,
,GPR98,1,,,,,,,,,
,GTF2IRD1,1,,,,,,,,,
,HAPLN2,1,,,,,,,,,
,IER2,1,,,,,,,,,
,IL18RAP,1,,,,,,,,,
,IPO9,1,,,,,,,,,
,JAK1,1,,,,,,,,,
,KCNT1,1,,,,,,,,,
,KCNV1,1,,,,,,,,,
,KIAA1244,1,,,,,,,,,
,KIF21B,1,,,,,,,,,
,KIF3C,1,,,,,,,,,
,L3MBTL4,1,,,,,,,,,
,LAMB3,1,,,,,,,,,
,MUS81,1,,,,,,,,,
,MYH8,1,,,,,,,,,
,MYO1G,1,,,,,,,,,
,MYT1,1,,,,,,,,,
,NCAPH2,1,,,,,,,,,
,NCKAP1L,1,,,,,,,,,
,NF1,1,,,,,,,,,
,NLRP4,1,,,,,,,,,
,NR1D1,1,,,,,,,,,
,PCDHB2,1,,,,,,,,,
,PDGFRB,1,,,,,,,,,
,PF4V1,1,,,,,,,,,
,PIK3R2,1,,,,,,,,,
,PKHD1L1,2,,,,,,,,,
,PKLR,1,,,,,,,,,
,PLEKHG3,1,,,,,,,,,
,PRDM14,1,,,,,,,,,
,RAB11FIP4,1,,,,,,,,,
,RGL2,1,,,,,,,,,
,RLF,1,,,,,,,,,
,SCN3A,1,,,,,,,,,
,SHANK1,1,,,,,,,,,
,SLC13A1,1,,,,,,,,,
,SLC22A15,1,,,,,,,,,
,SLC26A7,1,,,,,,,,,
,SPEN,1,,,,,,,,,
,SPOP,1,,,,,,,,,
,SPRY4,1,,,,,,,,,
,STK40,1,,,,,,,,,
,SVEP1,1,,,,,,,,,
,TMC8,1,,,,,,,,,
,TNRC6B,1,,,,,,,,,
,TRIM62,1,,,,,,,,,
,UBR5,1,,,,,,,,,
,WDR66,1,,,,,,,,,
,WEE2,1,,,,,,,,,
,ZBTB10,1,,,,,,,,,
,ZNF516,1,,,,,,,,,
,ZNF699,1,,,,,,,,,
,ZNF823,1,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
