MO_1139-Tumor,,,,,,,
CRPC,,,,,,,
bone,,,,,,,
,ACOXL,1,,,,,
,ANAPC1,1,,,,,
,ANKRD20A9P,1,,,,,
,ANKRD26P3,1,,,,,
,ASPG,1,,,,,
,ATP10A,1,,,,,
,B3GAT3,1,,,,,
,BCL2L11,1,,,,,
,BPY2,1,,,,,
,BPY2B,1,,,,,
,BPY2C,1,,,,,
,BUB1,1,,,,,
,C10ORF95,1,,,,,
,C14ORF180,1,,,,,
,C19ORF40,1,,,,,
,CCDC138,1,,,,,
,CCND1,1,,,,,
,CHEK2P2,1,,,,,
,COL11A2,1,,,,,
,COL7A1,1,,,,,
,CSPG4P1Y,1,,,,,
,CUEDC2,1,,,,,
,CXADRP2,1,,,,,
,CYFIP1,1,,,,,
,DALRD3,1,,,,,
,DAZ2,1,,,,,
,DAZ3,1,,,,,
,DAZ4,1,,,,,
,EDAR,1,,,,,
,EMILIN3,1,,,,,
,EML3,1,,,,,
,FBXL15,1,,,,,
,FOLH1,1,,,,,
,FOLH1B,1,,,,,
,GABRA5,1,,,,,
,GABRB3,1,,,,,
,GABRG3,1,,,,,
,GOLGA2P2Y,1,,,,,
,GOLGA2P3Y,1,,,,,
,GOLGA6L1,1,,,,,
,GOLGA6L6,1,,,,,
,GOLGA8CP,1,,,,,
,GOLGA8DP,1,,,,,
,GOLGA8EP,1,,,,,
,GOLGA8I,1,,,,,
,HERC2P2,1,,,,,
,HERC2P3,1,,,,,
,HERC2P7,1,,,,,
,HPS6,1,,,,,
,IMPDH2,1,,,,,
,INF2,1,,,,,
,IPW,1,,,,,
,ITIH1,1,,,,,
,ITIH3,1,,,,,
,KIF26A,1,,,,,
,KLHDC3,1,,,,,
,LDB1,1,,,,,
,LIMS3,1,,,,,
,LIMS3-LOC440895,1,,,,,
,LIMS3L,1,,,,,
,LINC00116,1,,,,,
,LINC00421,1,,,,,
,LINC00442,1,,,,,
,LOC100128714,1,,,,,
,LOC100288570,1,,,,,
,LOC100507334,1,,,,,
,LOC283683,1,,,,,
,LOC440040,1,,,,,
,LOC440895,1,,,,,
,LOC441601,1,,,,,
,LOC646214,1,,,,,
,LOC646813,1,,,,,
,LOC727924,1,,,,,
,LPIN3,1,,,,,
,MAGEL2,1,,,,,
,MALL,1,,,,,
,MEA1,1,,,,,
,MIR-203/203,1,,,,,
,MIR-3118-4/3118,1,,,,,
,MIR-3118-6/3118,1,,,,,
,MIR-3164/3164,1,,,,,
,MIR-4265/4265,1,,,,,
,MIR-4266/4266,1,,,,,
,MIR-4267/4267,1,,,,,
,MIR146B,1,,,,,
,MIR191,1,,,,,
,MIR425,1,,,,,
,MIR4265,1,,,,,
,MIR4266,1,,,,,
,MIR4267,1,,,,,
,MIR4435-1,1,,,,,
,MIR4435-2,1,,,,,
,MIR4436B1,1,,,,,
,MIR4508,1,,,,,
,MIR4710,1,,,,,
,MIR4715,1,,,,,
,MIR711,1,,,,,
,MKRN3,1,,,,,
,MPHOSPH8,1,,,,,
,MYEOV,1,,,,,
,NBEAP1,1,,,,,
,NDN,1,,,,,
,NDUFAF3,1,,,,,
,NF1P2,1,,,,,
,NFKB2,1,,,,,
,NIPA1,1,,,,,
,NIPA2,1,,,,,
,NOX4,1,,,,,
,NPAP1,1,,,,,
,NPHP1,1,,,,,
,OCA2,1,,,,,
,OR10AG1,1,,,,,
,OR4A15,1,,,,,
,OR4A16,1,,,,,
,OR4A5,1,,,,,
,OR4C11,1,,,,,
,OR4C12,1,,,,,
,OR4C13,1,,,,,
,OR4C15,1,,,,,
,OR4C16,1,,,,,
,OR4C46,1,,,,,
,OR4C6,1,,,,,
,OR4M2,1,,,,,
,OR4N3P,1,,,,,
,OR4N4,1,,,,,
,OR4P4,1,,,,,
,OR4S2,1,,,,,
,OR5AS1,1,,,,,
,OR5D13,1,,,,,
,OR5D14,1,,,,,
,OR5D16,1,,,,,
,OR5D18,1,,,,,
,OR5F1,1,,,,,
,OR5I1,1,,,,,
,OR5J2,1,,,,,
,OR5L1,1,,,,,
,OR5L2,1,,,,,
,OR5T2,1,,,,,
,OR5T3,1,,,,,
,OR5W2,1,,,,,
,OR7E5P,1,,,,,
,OR8H2,1,,,,,
,OR8H3,1,,,,,
,OR8I2,1,,,,,
,OR8J3,1,,,,,
,OR8K5,1,,,,,
,PHF2P1,1,,,,,
,POTEB,1,,,,,
,PPP2R5D,1,,,,,
,PRY,1,,,,,
,PRY2,1,,,,,
,PSD,1,,,,,
,PSPC1,1,,,,,
,PWAR5,1,,,,,
,PWARSN,1,,,,,
,PWRN1,1,,,,,
,PWRN2,1,,,,,
,RBMY1B,1,,,,,
,RBMY1D,1,,,,,
,RBMY1E,1,,,,,
