MO_1015-Tumor,,,,,,
CRPC,,,,,,
Lymph Node ,,,,,,
,ZXDA,1,,,,
,ZSWIM6,1,,,,
,ZNF821,1,,,,
,ZNF292,1,,,,
,ZNF280C,1,,,,
,ZNF23,1,,,,
,ZNF19,1,,,,
,ZMYM3,1,,,,
,ZFHX3,1,,,,
,ZC4H2,1,,,,
,ZC3H12B,1,,,,
,ZBTB24,1,,,,
,YIPF6,1,,,,
,XPOT,1,,,,
,WWC3,1,,,,
,WRB,1,,,,
,WISP3,1,,,,
,WASF1,1,,,,
,VSIG4,1,,,,
,VAC14,1,,,,
,USP45,1,,,,
,UFL1,1,,,,
,UBL4A,1,,,,
,UBE3D,1,,,,
,UBE2J1,1,,,,
,TXNL4B,1,,,,
,TXNDC5,1,,,,
,TUBE1,1,,,,
,TTK,1,,,,
,TSG1,1,,,,
,TRAPPC2,1,,,,
,TRAF3IP2-AS1,1,,,,
,TRAF3IP2,1,,,,
,TPI1P3,1,,,,
,TPBG,1,,,,
,TMSB4X,1,,,,
,TMPRSS2,1,,,,
,TMEM14C,1,,,,
,TMEM14B,1,,,,
,TLR8-AS1,1,,,,
,TLR8,1,,,,
,TLR7,1,,,,
,TFAP2A,1,,,,
,TEX11,1,,,,
,TCEANC,1,,,,
,TBX18,1,,,,
,TBK1,1,,,,
,TAZ,1,,,,
,TAT,1,,,,
,TAF1,1,,,,
,SYNCRIP,1,,,,
,SYCP2L,1,,,,
,STARD8,1,,,,
,SSR1,1,,,,
,SRSF12,1,,,,
,SPIN4,1,,,,
,SPACA1,1,,,,
,SOBP,1,,,,
,SNX3,1,,,,
,SNX14,1,,,,
,SNX12,1,,,,
,SNRNP48,1,,,,
,SNORD71,1,,,,
,SNORD50B,1,,,,
,SNORD50A,1,,,,
,SNORD116-25,1,,,,
,SNORD116-24,1,,,,
,SNORD116-23,1,,,,
,SNORD116-22,1,,,,
,SNORD116-21,1,,,,
,SNORD116-20,1,,,,
,SNORD116-19,1,,,,
,SNORD116-18,1,,,,
,SNORD116-17,1,,,,
,SNORD116-16,1,,,,
,SNORD116-15,1,,,,
,SNORD114-9,1,,,,
,SNORD114-8,1,,,,
,SNORD114-7,1,,,,
,SNORD114-6,1,,,,
,SNORD114-5,1,,,,
,SNORD114-4,1,,,,
,SNORD114-31,1,,,,
,SNORD114-30,1,,,,
,SNORD114-3,1,,,,
,SNORD114-29,1,,,,
,SNORD114-28,1,,,,
,SNORD114-27,1,,,,
,SNORD114-26,1,,,,
,SNORD114-25,1,,,,
,SNORD114-24,1,,,,
,SNORD114-23,1,,,,
,SNORD114-22,1,,,,
,SNORD114-21,1,,,,
,SNORD114-20,1,,,,
,SNORD114-2,1,,,,
,SNORD114-19,1,,,,
,SNORD114-18,1,,,,
,SNORD114-17,1,,,,
,SNORD114-16,1,,,,
,SNORD114-15,1,,,,
,SNORD114-14,1,,,,
,SNORD114-13,1,,,,
,SNORD114-12,1,,,,
,SNORD114-11,1,,,,
,SNORD114-10,1,,,,
,SNORD114-1,1,,,,
,SNORD113-9,1,,,,
,SNORD113-7,1,,,,
,SNORD113-6,1,,,,
,SNORD113-5,1,,,,
,SNORD113-4,1,,,,
,SNORD111B,1,,,,
,SNORD111,1,,,,
,SNORA70D,1,,,,
,SNHG5,1,,,,
,SNAP91,1,,,,
,SMPD2,1,,,,
,SMIM8,1,,,,
,SMIM15,1,,,,
,SMIM13,1,,,,
,SLC7A3,1,,,,
,SLC39A7,1,,,,
,SLC35B3,1,,,,
,SLC35A1,1,,,,
,SLC32A1,1,,,,
,SLC25A32,1,,,,
,SLC22A16,1,,,,
,SLC16A10,1,,,,
,SLC10A3,1,,,,
,SIM1,1,,,,
,SH3BGRL2,1,,,,
,SH3BGR,1,,,,
,SF3B3,1,,,,
,SESN1,1,,,,
,SEC63,1,,,,
,SCML4,1,,,,
,SCARNA27,1,,,,
,RXRB,1,,,,
,RWDD2A,1,,,,
,RTN4IP1,1,,,,
,RREB1,1,,,,
,RRAGD,1,,,,
,RPS26P11,1,,,,
,RPF2,1,,,,
,RNY4,1,,,,
,RNGTT,1,,,,
,RIPPLY2,1,,,,
,RIOK1,1,,,,
,RING1,1,,,,
,RGAG4,1,,,,
,RFPL4B,1,,,,
,REV3L,1,,,,
,RBM41,1,,,,
,RASSF3,1,,,,
,RARS2,1,,,,
,RALGAPB,1,,,,
,RAB9A,1,,,,
,RAB41,1,,,,
,RAB33A,1,,,,
,QRSL1,1,,,,
,PSMG1,1,,,,
,PRSS35,1,,,,
,PRPS2,1,,,,
,PREP,1,,,,
,PRDM13,1,,,,
,PRDM1,1,,,,
,PPIL6,1,,,,
,POU3F2,1,,,,
,POPDC3,1,,,,
,PNRC1,1,,,,
,PNISR,1,,,,
,PMFBP1,1,,,,
,PM20D2,1,,,,
,PLXNA3,1,,,,
,PLAC4,1,,,,
,PKD1L3,1,,,,
,PJA1,1,,,,
,PIP5K1P1,1,,,,
,PIH1D3,1,,,,
,PHLPP2,1,,,,
,PHIP,1,,,,
,PGM3,1,,,,
,PDZD11,1,,,,
,PDSS2,1,,,,
,PCP4,1,,,,
,PAK1IP1,1,,,,
,P2RY4,1,,,,
,OTUD6A,1,,,,
,OSTM1,1,,,,
,ORC3,1,,,,
,OPHN1,1,,,,
,OGT,1,,,,
,OFD1,1,,,,
,NUP62CL,1,,,,
,NT5E,1,,,,
,NRN1,1,,,,
,NR2E1,1,,,,
,NONO,1,,,,
,NLGN3,1,,,,
,NHSL2,1,,,,
,NEDD9,1,,,,
,NDUFAF4,1,,,,
,NDUFAF2,1,,,,
,MX2,1,,,,
,MX1,1,,,,
,MTSS1L,1,,,,
,MTMR8,1,,,,
,MSN,1,,,,
,MRAP2,1,,,,
,MMS22L,1,,,,
,MIR676,1,,,,
,MIR548Z,1,,,,
,MIR548H3,1,,,,
,MIR548C,1,,,,
,MIR4760,1,,,,
,MIR4643,1,,,,
,MIR4464,1,,,,
,MIR411,1,,,,
,MIR379,1,,,,
,MIR3197,1,,,,
,MIR223,1,,,,
,MIR2113,1,,,,
,MIR1468,1,,,,
,MIR-3197/3197,1,,,,
,MID1,1,,,,
,MICAL1,1,,,,
,METTL24,1,,,,
,MED12,1,,,,
,ME1,1,,,,
,MDN1,1,,,,
,MCHR2,1,,,,
,MARVELD3,1,,,,
,MARCKS,1,,,,
,MAP3K7,1,,,,
,MANEA,1,,,,
,MAK,1,,,,
,LYRM2,1,,,,
