TSTD2,1
IFIT5,1
PCDHB15,1
ADAMTS20,1
ACSS3,1
ZC3H3,1
SLC6A2,1
ITGA5,1
FASTKD1,1
APBB2,1
IQGAP3,1
FAM182B,1
ANKRD42,1
RTKN2,1
KIAA2026,1
OGFOD3,1
NDUFS2,1
CACNA1C,1
OR4A5,1
SMARCA4,1
MXRA5,1
WT1,1
ZNF146,1
ZAN,1
ARC,1
NPTX2,1
HBQ1,1
COL5A3,1
ATE1,1
TP53,1
PRICKLE1,1
MLH3,1
CD1E,1
BDKRB1,1
EMID1,1
TECTA,1
RDX,1
FLJ14082,1
PLEKHD1,1
TTC24,1
GINM1,1
ATXN7L3,1
PKIG,1
ZNF564,1
UBE2O,1
TRIM74,1
PLEKHH2,1
TTN,1
LAMA1,1
SETBP1,1
BFSP2,1
RNF175,1
SLC4A3,2
AIM1,1
GLI3,1
FLG,1
LAMB2,1
C16orf89,1
VSTM2B,1
MED24,1
SRPR,1
SLC16A14,1
GCN1L1,1
GEM,1
ZNF768,1
ARMCX4,1
LHX2,1
RFC2,1
ETV1,1
CD19,1
SUPT16H,1
TMEM207,1
MAGEB3,1
DNAH7,1
MUC4,3
BRCA2,2
FAP,1
LY6K,1
LRRK2,1
CCM2,1
APOB,1
OR12D2,1
PCDHA9,2
POTEE,1
KDM6A,1
LRRC7,1
UPK1B,1
SFPQ,1
ZNF286B,1
TAOK3,1
HDAC4,1
TAS1R1,1
OGDHL,1
PHTF2,1
KLHL3,1
SYNE1,1
ATP10D,1
GPR113,1
RGS7,1
KDM4B,1
NFKBIZ,1
POTEJ,1
ZDBF2,2
LIG1,1
DENND4B,1
MAP3K19,1
FNIP2,1
SCML4,1
SLAMF8,1
NPEPPS,1
TRPM6,1
PSG3,1
EHHADH,1
SCN8A,1
COL1A1,1
FAM212B,1
FBXL17,1
ZNF521,1
GFI1B,1
KALRN,2
MANEA,1
KCNS3,1
ATP2B4,1
RUNX1,1
ADH1A,1
TFEB,1
SLC24A1,1
ZNF581,1
GRM4,1
ADAMTS6,1
GNAS,1
RNF103,1
MAMSTR,1
POGK,1
GOLGA6L2,2
ANO5,1
CKAP5,1
LAS1L,1
NFATC2,1
GRXCR1,1
DYSF,1
ZNF540,1
NXPH2,1
RABGAP1,1
ZSCAN5B,1
FOSB,1
PCDHA6,1
CACNA1E,1
TRIM6,1
TEKT3,1
PCNT,1
IQCF1,1
GSDMC,1
MGAT4A,1
PGBD5,1
HEATR6,1
SLITRK5,1
SP8,1
ISCA2,1
ZER1,1
GNB1,1
CNTN4,1
SEC16B,1
SMUG1,1
OR2T2,1
ZBTB8B,2
SIGLEC1,1
AKAP6,1
DMWD,1
IGSF8,1
ATP11A,1
CLINT1,1
NR4A1,1
MUC16,2
RASGRF1,1
MEGF10,1
FOXA1,2
PTPRC,1
YWHAE,1
CCDC81,1
SPOCK1,1
HRNR,1
