TSTD2,1
SCG3,1
PCDHB15,1
ADAMTS20,1
DLG1,1
TMEM199,1
ZC3H3,1
SLC6A2,1
ITGA5,1
FASTKD1,1
APBB2,1
FAM182B,1
RTKN2,1
KIAA2026,1
CCDC174,1
NDUFS2,1
OR4A5,1
MXRA5,1
WT1,1
TNS1,1
ZAN,1
AQP12A,1
ARC,1
HBQ1,1
COL5A3,1
ATE1,1
TP53,1
FRAS1,1
PRICKLE1,1
MLH3,1
CD1E,1
UBAC1,1
BDKRB1,1
TECTA,1
RDX,1
FLJ14082,1
TTC24,1
MUC19,1
ATXN7L3,1
PKIG,1
ZNF564,1
UBE2O,1
TRIM74,1
PLEKHH2,1
TTN,1
CACNA2D1,1
MUC17,2
LAMA1,1
SETBP1,1
BFSP2,1
RNF175,1
SLC4A3,2
AIM1,1
FLG,1
LAMB2,1
NR5A2,1
VSTM2B,1
SNAP47,1
SLC16A14,1
GCN1L1,1
F10,1
GEM,1
MAGEC3,1
TUBB8P7,1
ZNF768,1
ARMCX4,1
LHX2,1
CD19,1
SUPT16H,1
TMEM207,1
MAGEB3,1
DNAH7,1
ATIC,1
MUC4,1
BRCA2,2
SLC30A1,1
LY6K,1
LRRK2,1
CCM2,1
APOB,1
OR12D2,1
PCDHA9,2
KDM6A,1
UPK1B,1
TAOK3,1
ULK2,1
HDAC4,1
FAM120A,1
TAS1R1,1
OGDHL,1
PHTF2,1
KLHL3,1
SYNE1,1
GPR113,1
RGS7,1
KDM4B,1
NFKBIZ,1
POTEJ,1
HORMAD1,1
ZDBF2,2
KIF1B,1
LIG1,1
DENND4B,1
MAP3K19,1
SCML4,1
STARD9,1
SLAMF8,1
TRPM6,1
PSG3,1
FAM5B,1
EHHADH,1
COL1A1,1
FAM212B,1
FBXL17,1
ZNF521,1
GFI1B,1
KALRN,2
MANEA,1
ATP2B4,1
OR52E8,1
ADH1A,1
TFEB,1
ZNF581,1
GRM4,1
ADAMTS6,1
GNAS,1
RNF103,1
MAMSTR,1
GOLGA6L2,1
ANO5,1
CROT,1
TTC17,1
LAS1L,1
SLC26A4,1
GRXCR1,1
DYSF,1
ZNF540,1
NXPH2,1
RABGAP1,1
ZSCAN5B,1
FOSB,1
PCDHA6,1
EPHA1,1
CACNA1E,1
TRIM6,1
PCNT,1
IQCF1,1
GSDMC,1
MGAT4A,1
PGBD5,1
HEATR6,1
SLITRK5,1
SP8,1
ZER1,1
GNB1,1
SEC16B,1
SMUG1,1
AKAP6,1
DMWD,1
IGSF8,1
ATP11A,1
ANKRD36C,1
CLINT1,1
SLC9B1P1,1
MUC16,2
RASGRF1,1
MEGF10,1
FOXA1,1
PTPRC,1
CCDC81,1
SPOCK1,1
HRNR,1
