Hemostasis	59	14	7	5	48	36	18	10	8	7	0	1	0	6	3	1	6	7	11	9	9	5	20	3	7	23	12	52	4	4	7	8	4	34	32	14	17	6	18	6	1	6	11	15	12	7	7	4	7	7	1	3	3	1	1	1	0	0	1	2	0	0	2	4	11	2	1	0	1	1	2	1	1	1	0	0	0	4	0	1	4	1	0	3	4	4	3	0	1	0	2	2	5	0	18	1	1	2	2	1
Immune System	142	27	21	12	99	77	35	17	27	5	1	10	3	15	6	6	12	18	14	11	10	15	71	9	12	63	15	122	8	20	19	16	18	88	50	28	16	14	27	8	2	15	19	29	28	8	11	2	11	16	6	5	4	4	6	3	3	3	3	3	1	2	1	4	12	4	4	2	4	2	2	1	2	4	0	1	1	4	5	3	5	3	0	5	4	5	7	7	1	1	6	5	6	3	57	3	1	5	11	5
Membrane Trafficking	38	2	3	3	21	18	6	2	7	0	1	1	0	1	2	1	1	6	2	2	4	1	11	2	1	9	7	24	1	2	4	4	2	14	10	14	4	3	4	3	0	3	2	5	13	1	4	1	1	4	0	0	0	0	0	4	1	2	0	1	0	0	0	1	1	2	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	1	1	0	7	0	0	0	0	1
Metabolism	209	37	26	25	135	105	50	24	33	11	1	8	6	10	15	6	14	22	23	17	15	14	86	8	13	96	23	122	6	21	38	20	4	91	70	41	22	14	34	14	5	16	28	59	47	4	22	2	25	18	3	5	2	4	9	3	2	2	3	1	2	3	1	1	20	1	4	6	7	3	1	1	2	2	1	1	3	3	3	6	3	2	2	6	3	8	7	7	5	1	3	7	6	4	75	5	8	4	7	2
Metabolism of proteins	72	23	17	15	60	43	33	8	10	3	0	6	2	3	9	5	2	15	35	9	3	4	32	3	6	37	12	61	5	4	6	12	3	44	34	19	19	5	27	4	3	6	11	24	20	5	7	1	4	8	3	6	0	0	3	1	3	0	1	1	0	2	2	1	9	2	4	4	0	1	1	1	1	1	1	4	0	7	2	5	2	1	0	2	0	4	3	2	3	0	1	6	1	1	26	0	3	1	2	2
Muscle contraction	2	3	1	0	7	5	1	2	1	2	0	0	0	0	1	1	1	2	9	1	1	1	3	1	0	3	2	4	2	0	2	1	0	3	2	3	0	1	1	1	0	3	1	3	2	1	0	0	2	0	0	0	0	0	0	3	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	2	0	0	6	0	0	0	0	0
Neuronal System	33	6	10	10	28	27	18	5	11	1	1	1	3	3	4	0	0	4	7	4	1	2	10	2	3	17	3	21	3	3	5	3	1	22	20	9	5	4	10	2	1	2	9	15	10	2	5	1	4	5	0	2	1	3	1	2	1	1	2	1	0	2	1	0	4	0	1	0	0	0	0	0	0	0	0	1	0	1	1	2	1	1	1	1	2	1	1	0	0	0	1	5	1	0	12	1	0	0	0	1
Organelle biogenesis and maintenance	8	1	2	1	4	4	2	1	0	2	1	0	0	0	1	0	0	3	2	0	0	0	2	1	1	2	1	8	0	1	2	0	0	2	1	3	1	2	2	1	0	1	2	5	3	0	0	0	1	3	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	1	1	1	0
Reproduction	4	1	0	0	5	3	1	0	0	1	0	1	0	0	2	0	0	0	0	1	1	0	2	1	0	1	0	3	0	1	1	0	0	1	3	4	0	0	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Signal Transduction	252	41	28	30	148	106	55	27	32	10	4	10	7	9	13	8	43	29	36	19	17	51	86	7	43	91	27	213	13	29	18	34	9	104	83	43	38	20	82	24	4	18	32	59	49	13	18	33	21	35	6	6	5	9	8	5	4	7	4	2	4	4	4	8	17	5	4	9	3	4	5	0	3	7	1	3	2	9	10	8	5	10	2	5	8	21	12	7	3	1	5	9	12	5	74	6	8	5	8	7
Transmembrane transport of small molecules	69	13	9	7	40	35	20	13	15	0	0	2	5	2	2	1	4	6	12	16	3	5	25	7	9	42	7	54	2	8	17	8	4	40	27	15	18	8	17	2	3	4	17	20	17	3	8	3	5	11	2	4	2	2	5	4	2	1	1	1	1	1	1	0	2	1	2	0	1	0	2	0	1	0	0	3	1	2	3	3	1	0	0	3	0	4	4	2	2	1	2	4	4	1	26	3	4	1	0	0
